text,labels
کسی کو برد آب و آتش بهم / ابر هر دوان کرده باشد ستم,داستان دوازده رخ
دو پر مایه بیدار و دو پهلوان / یکی پیر و باهوش و دیگر جوان,داستان دوازده رخ
برفتند با پند افراسیاب / برام پیر و جوان بر شتاب,داستان دوازده رخ
ابا ترگ زرین و کوپال و تیغ / خروشان بکردار غرنده میغ,داستان دوازده رخ
پس آگاهی آمد به پیروز شاه / که آمد ز توران بایران سپاه,داستان دوازده رخ
جفاپیشه بدگوهر افراسیاب / ز کینه نیاید شب و روز خواب,داستان دوازده رخ
برآورد خواهد همی سر ز ننگ / ز هر سو فرستاد لشکر بجنگ,داستان دوازده رخ
همی زهر ساید بنوک سنان / که تابد مگر سوی ایران عنان,داستان دوازده رخ
سواران جنگی چو سیصد هزار / بجیحون همی کرد خواهد گذار,داستان دوازده رخ
سپاهی که هنگام ننگ و نبرد / ز جیحون بگردون برآورد گرد,داستان دوازده رخ
دلیران بدرگاه افراسیاب / ز بانگ تبیره نیابند خواب,داستان دوازده رخ
ز آوای شیپور و زخم درای / تو گویی برآید همی دل ز جای,داستان دوازده رخ
گر آید بایران بجنگ آن سپاه / هژبر دلاور نیاید براه,داستان دوازده رخ
سر مرز توران به پیران سپرد / سپاهی فرستاد با او نه خرد,داستان دوازده رخ
سوی مرز خوارزم پنجه هزار / کمربسته رفت از در کارزار,داستان دوازده رخ
سپهدارشان شیدهٔ شیر دل / کز آتش ستاند بشمشیر دل,داستان دوازده رخ
سپاهی بکردار پیلان مست / که با جنگ ایشان شود کوه پست,داستان دوازده رخ
چو بشنید گفتار کاراگهان / پراندیشه بنشست شاه جهان,داستان دوازده رخ
بکاراگهان گفت کای بخردان / من ایدون شنیدستم از موبدان,داستان دوازده رخ
که چون ماه ترکان برآید بلند / ز خورشید ایرانش آید گزند,داستان دوازده رخ
سیه مارکورا سر آید بکوب / ز سوراخ پیچان شود سوی چوب,داستان دوازده رخ
چو خسرو به بیداد کارد درخت / بگردد برو پادشاهی و تخت,داستان دوازده رخ
همه موبدان را بر خویش خواند / شنیده سخن پیش ایشان براند,داستان دوازده رخ
نشستند با شاه ایران براز / بزرگان فرزانه و رزم ساز,داستان دوازده رخ
چو دستان سام و چو گودرز و گیو / چو شیدوش و فرهاد و رهام نیو,داستان دوازده رخ
چو طوس و چو رستم یل پهلوان / فریبرز و شاپور شیر دمان,داستان دوازده رخ
دگر بیژن گیو با گستهم / چو گرگین چون زنگه و گژدهم,داستان دوازده رخ
همه / که بودند شاه جهان را رمه,داستان دوازده رخ
ابا پهلوانان چنین گفت شاه / که ترکان همی رزم جویند و گاه,داستان دوازده رخ
چو دشمن سپه کرد و شد تیز چنگ / بباید بسیچید ما را بجنگ,داستان دوازده رخ
بفرمود تا بوق با گاودم / دمیدند و بستند رویینه خم,داستان دوازده رخ
از ایوان به میدان خرامید شاه / بیاراستند از بر پیل گاه,داستان دوازده رخ
بزد مهره در جام بر پشت پیل / زمین را تو گفتی براندود نیل,داستان دوازده رخ
هوا نیلگون شد زمین رنگ رنگ / دلیران لشکر بسان پلنگ,داستان دوازده رخ
بچنگ اندرون گرز و دل پر ز کین / ز گردان چو دریای جوشان زمین,داستان دوازده رخ
خروشی برآمد ز درگاه شاه / که ای پهلوانان ایران سپاه,داستان دوازده رخ
کسی کو بساید عنان و رکیب / نباید که یابد بخانه شکیب,داستان دوازده رخ
بفرمود کز روم وز هندوان / سواران جنگی گزیده گوان,داستان دوازده رخ
دلیران گردنکش از تازیان / بسیچیدهٔ جنگ شیر ژیان,داستان دوازده رخ
کمربسته خواهند سیصد هزار / ز دشت سواران نیزه گزار,داستان دوازده رخ
هر آنکو چهل روزه را نزد شاه / نیاید نبیند بسر بر کلاه,داستان دوازده رخ
پراگنده بر گرد کشور سوار / فرستاده با نامه شهریار,داستان دوازده رخ
دو هفته برآمد بفرمان شاه / بجنبید در پادشاهی سپاه,داستان دوازده رخ
ز لشکر همه کشور آمد بجوش / زگیتی بر آمد سراسر خروش,داستان دوازده رخ
بشبگیر گاه خروش خروس / ز هر سوی برخاست آوای کوس,داستان دوازده رخ
بزرگان هر کشوری با سپاه / نهادند سر سوی درگاه شاه,داستان دوازده رخ
در گنجهای کهن باز کرد / سپه را درم دادن آغاز کرد,داستان دوازده رخ
همه لشکر از گنج و دینار شاه / بسر بر نهادند گوهر کلاه,داستان دوازده رخ
به بر گستوان و بجوشن چو کوه / شدند انجمن لشکری همگروه,داستان دوازده رخ
چو شد کار لشکر همه ساخته / وزیشان دل شاه پرداخته,داستان دوازده رخ
نخستین ازان لشکر نامدار / سواران شمشیر زن سی هزار,داستان دوازده رخ
گزین کرد خسرو برستم سپرد / بدو گفت کای نامبردار گرد,داستان دوازده رخ
ره سیستان گیر و برکش بگاه / بهندوستان اندر آور سپاه,داستان دوازده رخ
ز غزنین برو تا براه برین / چو گردد ترا تاج و تخت و نگین,داستان دوازده رخ
چو آن پادشاهی شود یکسره / ببشخور آید پلنگ و بره,داستان دوازده رخ
فرامرز را ده کلاه و نگین / کسی کو بخواهد ز لشکر گزین,داستان دوازده رخ
نای / بکشمیر و کابل فزون زین مپای,داستان دوازده رخ
که ما را سر از جنگ افراسیاب / نیابد همی خورد و آرام و خواب,داستان دوازده رخ
الانان و غزدژ بلهراسب داد / بدو گفت کای گرد خسرو نژاد,داستان دوازده رخ
برو با سپاهی بکردار کوه / گزین کن ز گردان لشکر گروه,داستان دوازده رخ
سواران شایستهٔ کارزار / ببر تا برآری ز دشمن دمار,داستان دوازده رخ
باشکش بفرمود تا سی هزار / دمنده هژبران نیزه گزار,داستان دوازده رخ
برد سوی خوارزم کوس بزرگ / سپاهی بکردار درنده گرگ,داستان دوازده رخ
زند بر در شهر خوارزم گاه / ابا شیدهٔ رزم زن کینه خواه,داستان دوازده رخ
سپاه چهارم بگودرز داد / چه مایه ورا پند و اندرز داد,داستان دوازده رخ
که رو با بزرگان ایران بهم / چو گرگین و چون زنگه و گستهم,داستان دوازده رخ
زواره فریبرز و فرهاد و گیو / گرازه سپهدار و رهام نیو,داستان دوازده رخ
بفرمود بستن کمرشان بجنگ / سوی رزم توران شدن بی درنگ,داستان دوازده رخ
سپهدار گودرز کشوادگان / همه پهلوانان و آزادگان,داستان دوازده رخ
نشستند بر زین بفرمان شاه / سپهدار گودرز پیش سپاه,داستان دوازده رخ
بگودرز فرمود پس شهریار / چو رفتی کمر بستهٔ کارزار,داستان دوازده رخ
نگر تا نیازی به بیداد دست / نگردانی ایوان آباد پست,داستان دوازده رخ
کسی کو بجنگت نبندد میان / چنان ساز کش از تو ناید زیان,داستان دوازده رخ
که نپسندد از ما بدی دادگر / سپنجست گیتی و ما برگذر,داستان دوازده رخ
چو لشکر سوی مرز توران بری / من تیز دل را بتش سری,داستان دوازده رخ
نگر تا نجوشی بکردار طوس / نبندی بهر کار بر پیل کوس,داستان دوازده رخ
جهاندیده ای سوی پیران فرست / هشیوار وز یادگیران فرست,داستان دوازده رخ
بپند فراوانش بگشای گوش / برو چادر مهربانی بپوش,داستان دوازده رخ
بهر کار با هر کسی دادکن / ز یزدان نیکی دهش یاد کن,داستان دوازده رخ
چنین گفت سالار لشکر بشاه / که فرمان تو برتر از شید و ماه,داستان دوازده رخ
بدان سان شوم کم تو فرمان دهی / تو شاه جهانداری و من رهی,داستان دوازده رخ
برآمد خروش از در پهلوان / ز بانگ تبیره زمین شد نوان,داستان دوازده رخ
بلشکر گه آمد دمادم سپاه / جهان شد ز گرد سواران سیاه,داستان دوازده رخ
به پیش سپاه اندرون پیل شست / جهان پست گشته ز پیلان مست,داستان دوازده رخ
وزان ژنده پیلان جنگی چهار / بیاراسته از در شهریار,داستان دوازده رخ
نهادند بر پشتشان تخت زر / نشستنگه شاه با زیب,داستان دوازده رخ
بگودرز فرمود تا بر نشست / بران تخت زر از بر پیل مست,داستان دوازده رخ
برانگیخت پیلان و برخاست گرد / مر آن را بنیک اختری یاد کرد,داستان دوازده رخ
که از جان پیران برآریم دود / بران سان که گرد پی پیل بود,داستان دوازده رخ
بی آزار لشکر بفرمان شاه / همی رفت منزل بمنزل سپاه,داستان دوازده رخ
چو گودرز نزدیک زیبد رسید / سران را ز لشکر همی برگزید,داستان دوازده رخ
هزاران دلیران خنجر گزار / ز گردان لشکر دلاور سوار,داستان دوازده رخ
از ایرانیان نامور ده هزار / سخن گوی و اندر خور کارزار,داستان دوازده رخ
سپهدار پس گیو را پیش خواند / همه گفتهٔ شاه با او براند,داستان دوازده رخ
بدو گفت کای پور سالار سر / برافراخته سر ز بسیار سر,داستان دوازده رخ
گزین کردم اندر خورت لشکری / که هستند سالار هر کشوری,داستان دوازده رخ
بدان تا بنزدیک پیران شوی / بگویی و گفتار او بشنوی,داستان دوازده رخ
بگویی به پیران که من با سپاه / بزیبد رسیدم بفرمان شاه,داستان دوازده رخ
شناسی تو گفتار و کردار خویش / بی آزاری و رنج و تیمار خویش,داستان دوازده رخ
همه شهر توران بدی را میان / ببستند با نامدار کیان,داستان دوازده رخ
فریدون فرخ که با داغ و درد / ز گیتی بشد دیده پر آب زرد,داستان دوازده رخ
پر از درد ایران پر از داغ شاه / که با سوک ایرج نتابید ماه,داستان دوازده رخ
ز ترکان تو تنها ازان انجمن / شناسی بمهر و وفا خویشتن,داستان دوازده رخ
دروغست بر تو همین نام مهر / نبینم بدلت اندر آرام مهر,داستان دوازده رخ
همانست کن شاه آزرمجوی / مرا گفت با او همه نرم گوی,داستان دوازده رخ
ازان کو بکارسیاوش رد / بیفگند یک روز بنیاد بد,داستان دوازده رخ
بنزد منش دستگاهست نیز / ز خون پدر بیگناهست نیز,داستان دوازده رخ
گناهی که تا این زمان کرده ای / ز شاهان گیتی که آزرده ای,داستان دوازده رخ
همی شاه بگذارد از تو همه / بدی نیکی انگارد از تو همه,داستان دوازده رخ
نباید که بر دست ما بر تباه / شوی بر گذشته فراوان گناه,داستان دوازده رخ
دگر کز پی جنگ افراسیاب / زمانه همی بر تو گیرد شتاب,داستان دوازده رخ
بزرگان ایران و فرزند من / بخوانند بر تو همه پند من,داستان دوازده رخ
سخن هرچ دانی بدیشان بگوی / وزیشان همیدون سخن بازجوی,داستان دوازده رخ
اگر راست باشد دلت با زبان / گذشتی ز تیمار و,داستان دوازده رخ
بر و بوم و خویشانت آباد گشت / ز تیغ منت گردن آزاد گشت,داستان دوازده رخ
ور از تو پدیدار آید گناه / نماند بتو مهر و تخت و کلاه,داستان دوازده رخ
نجویم برین کینه آرام و خواب / من و گرز و میدان افراسیاب,داستان دوازده رخ
کزو شاه ما را بکین خواستن / نباید بسی لشکر آراستن,داستان دوازده رخ
مگر پند من سربسر بشنوی / بگفتار هشیار من بگروی,داستان دوازده رخ
نخستین کسی کو پی افگند کین / بخون ریختن برنوشت آستین,داستان دوازده رخ
بخون سیاوش یازید دست / جهانی به بیداد بر کرد پست,داستان دوازده رخ
بسان سگانش ازان انجمن / ببندی فرستی بنزدیک من,داستان دوازده رخ
بدان تا فرستم بنزدیک شاه / چه شان سر ستاند چه بخشد کلاه,داستان دوازده رخ
تو نشنیدی آن داستان بزرگ / که شیر ژیان آورد پیش گرگ,داستان دوازده رخ
که هر کو بخون کیان دست آخت / زمانه بجز خاک جایش نساخت,داستان دوازده رخ
دگر هرچ از گنج نزدیک تست / همه دشمن جان تاریک تست,داستان دوازده رخ
ز اسپان پرمایه و گوهران / ز دیبا و دینار وز افسران,داستان دوازده رخ
ز ترگ و ز شمشیر و برگستوان / ز خفتان، وز خنجر هندوان,داستان دوازده رخ
همه آلت لشکر و سیم و زر / فرستی بنزدیک ما سربسر,داستان دوازده رخ
به بیداد کز مردمان بستدی / فراز آوریدی ز دست بدی,داستان دوازده رخ
بدان باز خری مگر جان خویش / ازین درکنی زود درمان خویش,داستان دوازده رخ
چه اندر خور شهریارست ازان / فرستم بنزدیک شاه جهان,داستان دوازده رخ
ببخشیم دیگر همه بر سپاه / بجای مکافات کرده گناه,داستان دوازده رخ
و دیگر که پور گزین ترا / نگهبان گاه و نگین ترا,داستان دوازده رخ
برادرت هر دو سران سپاه / که همزمان برآرند گردن بماه,داستان دوازده رخ
چو هر سه بدین نامدار انجمن / گروگان فرستی بنزدیک من,داستان دوازده رخ
بدان تا شوم ایمن از کار تو / برآرد درخت وفا بار تو,داستان دوازده رخ
تو نیز آنگهی برگزینی دو راه / یکی راه جویی بنزدیک شاه,داستان دوازده رخ
ابا دودمان نزد خسرو شوی / بدان سایهٔ مهر او بغنوی,داستان دوازده رخ
کنم با تو پیمان که خسرو ترا / بخورشید تابان برآرد سرا,داستان دوازده رخ
ز مهر دل او تو آگه تری / کزو هیچ ناید چز از بهتری,داستان دوازده رخ
بشویی دل از مهر افراسیاب / نبینی شب تیره او را بخواب,داستان دوازده رخ
گر از شاه ترکان بترسی ز بد / نخواهی که,داستان دوازده رخ
بپرداز توران و بنشین بچاج / ببر تخت ساج و بر افراز تاج,داستان دوازده رخ
ورت سوی افراسیابست رای / برو سوی او جنگ ما را مپای,داستان دوازده رخ
اگر تو بخواهی بسیچید جنگ / مرا زور شیرست و چنگ پلنگ,داستان دوازده رخ
بترکان نمانم من از تخت بهر / کمان من ابرست و بارانش زهر,داستان دوازده رخ
بسیچیدهٔ جنگ خیز اندرآی / گرت هست با شیر درنده پای,داستان دوازده رخ
چو صف برکشید از دو رویه سپاه / گنهکار پیدا شد از بیگناه,داستان دوازده رخ
گرین گفته های مرا نشنوی / بفرجام کارت پشیمان شوی,داستان دوازده رخ
پشیمانی آنگه نداردت سود / که تیغ زمانه سرت را درود,داستان دوازده رخ
بگفت این سخن پهلوان با پسر / که بر خوان بپیران همه دربدر,داستان دوازده رخ
ز پیش پدر گیو شد تا ببلخ / گرفته بیاد آن سخنهای تلخ,داستان دوازده رخ
فرود آمد و کس فرستاد زود / بران سان که گودرز فرموده بود,داستان دوازده رخ
همان شب سپاه اندر آورد گرد / برفت از در بلخ تا ویسه گرد,داستان دوازده رخ
که پیران بدان شهر بد با سپاه / که دیهیم ایران همی جست و گاه,داستان دوازده رخ
فرستاده چون سوی پیران رسید / سپدار ایران سپه را بدید,داستان دوازده رخ
بگفتند کآمد سوی بلخ گیو / ابا ویژگان سپهدار نیو,داستان دوازده رخ
چو بشنید پیران برافراخت کوس / شد از سم اسبان زمین آبنوس,داستان دوازده رخ
ده و دو هزارش ز لشکر سوار / فراز آمد اندر خور کارزار,داستان دوازده رخ
ازیشان دو بهره هم آنجا بماند / برفت و جهاندیدگانرا بخواند,داستان دوازده رخ
بیامد چو نزدیک جیحون رسید / بگرد لب آب لشکر کشید,داستان دوازده رخ
بجیحون پر از نیزه دیوار کرد / چو با گیو گودرز دیدار کرد,داستان دوازده رخ
دو هفته شد اندر سخنشان درنگ / بدان تا نباشد به بیداد جنگ,داستان دوازده رخ
ز هر گونه گفتند و پیران شنید / گنهکاری آمد ز ترکان پدید,داستان دوازده رخ
بزرگان ایران زمان یافتند / بریشان بگفتار بشتافتند,داستان دوازده رخ
برافگند یپران هم اندر شتاب / نوندی بنزدیک افراسیاب,داستان دوازده رخ
که گودرز کشوادگان با سپاه / نهاد از بر تخت گردان کلاه,داستان دوازده رخ
فرستاده آمد بنزدیک من / گزین پور او مهتر انجمن,داستان دوازده رخ
مار گوش و دل سوی فرمان تست / بپیمان روانم گروگان تست,داستان دوازده رخ
سخن چون بسالار ترکان رسید / سپاهی ز جنگ آوران برگزید,داستان دوازده رخ
فرستاد نزدیک پیران سوار / ز گردان شمشیر,داستان دوازده رخ
بدو گفت بردار شمشیر کین / وزیشان بپرداز روی زمین,داستان دوازده رخ
نه گودرز باید که ماند نه گیو / نه فرهاد و گرگین نه رهام نیو,داستان دوازده رخ
که بر ما سپه آمد از چار سوی / همی گاه توران کنند آرزوی,داستان دوازده رخ
جفا پیشه گشتم ازین پس بجنگ / نجویم بخون ریختن بر درنگ,داستان دوازده رخ
برای هشیوار و مردان مرد / برآرم ز کیخسرو این بار گرد,داستان دوازده رخ
چو پیران بدید آن سپاه بزرگ / بخون تشنه هر یک بکردار گرگ,داستان دوازده رخ
بر آشفت ازان پس که نیرو گرفت / هنرها بشست از دل آهو گرفت,داستان دوازده رخ
جفا پیشه گشت آن دل نیکخوی / پر اندیشه شد رزم کرد آرزوی,داستان دوازده رخ
بگیو آنگهی گفت برخیز و رو / سوی پهلوان سپه باز شو,داستان دوازده رخ
بگویش که از من تو چیزی مجوی / که فرزانگان آن نبینند روی,داستان دوازده رخ
یکی آنکه از نامدارگوان / گروگان همی خواهی این کی توان,داستان دوازده رخ
و دیگر که گفتی سلیح و سپاه / گرانمایه اسبان و تخت و کلاه,داستان دوازده رخ
برادرکه روشن جهان منست / گزیده پسر پهلوان منست,داستان دوازده رخ
همی گویی از خویشتن دور کن / ز بخرد چنین خام باشد سخن,داستان دوازده رخ
مرا مرگ بهتر ازان زندگی / که سالار باشم کنم بندگی,داستان دوازده رخ
یکی داستان زد برین بر پلنگ / چو با شیر جنگ آورش خاست جنگ,داستان دوازده رخ
بنام ار بریزی مرا گفت خون / به از زندگانی بننگ اندرون,داستان دوازده رخ
و دیگر که پیغام شاه آمدست / بفرمان جنگم سپاه آمدست,داستان دوازده رخ
چو پاسخ چنین یافت برگشت گیو / ابا لشکری نامبردار و نیو,داستان دوازده رخ
سپهدار چون گیو برگشت از وی / خروشان سوی جنگ بنهاد روی,داستان دوازده رخ
دمان از پس گیو پیران دلیر / سپه را همی راند برسان شیر,داستان دوازده رخ
بیامد چو پیش کنابد رسید / بران دامن کوه لشکر کشید,داستان دوازده رخ
چو گیو اندر آمد بپیش پدر / همی گفت پاسخ همه دربدر,داستان دوازده رخ
بگودرز گفت اندرآور سپاه / بجایی که سازی همی رزمگاه,داستان دوازده رخ
که او را همی آشتی رای نیست / بدلش اندرون داد را جای نیست,داستان دوازده رخ
ز هر گونه با او سخن راندم / همه هرچ گفتی برو خواندم,داستان دوازده رخ
چو آمد پدیدار ازیشان گناه / هیونی برافگند نزدیک شاه,داستان دوازده رخ
اندر آمد بجنگ / سپه باید ایدر مرا بی درنگ,داستان دوازده رخ
سپاه آمد از نزدافراسیاب / چو ما بازگشتیم بگذاشت آب,داستان دوازده رخ
کنون کینه را کوس بر پیل بست / همی جنگ ما را کند پیشدست,داستان دوازده رخ
چنین گفت با گیو پس پهلوان / که پیران بسیری رسید از روان,داستان دوازده رخ
همین داشتم چشم زان بد نهان / ولیکن بفرمان شاه جهان,داستان دوازده رخ
بایست رفتن که چاره نبود / دلش را کنون شهریار آزمود,داستان دوازده رخ
یکی داستان گفته بودم بشاه / چو فرمود لشکر کشیدن براه,داستان دوازده رخ
که دل را ز مهر کسی برگسل / کجا نیستش با زبان راست دل,داستان دوازده رخ
همه مهر پیران بترکان برست / بشوید همی شاه ازو پاک دست,داستان دوازده رخ
چو پیران سپاه از کنابد براند / بروز اندرون روشنایی نماند,داستان دوازده رخ
سواران جوشن وران صد هزار / ز ترکان کمربستهٔ کارزار,داستان دوازده رخ
برفتند بسته کمرها بجنگ / همه نیزه و تیغ هندی بچنگ,داستان دوازده رخ
چو دانست گودرز کآمد سپاه / بزد کوس و آمد ز زیبد براه,داستان دوازده رخ
ز کوه اندر آمد بهامون گذشت / کشیدند لشکر بران پهن دشت,داستان دوازده رخ
بکردار کوه از دو رویه سپاه / ز آهن بسر بر نهاده کلاه,داستان دوازده رخ
برآمد خروشیدن کرنای / بجنبد همی کوه گفتی ز جای,داستان دوازده رخ
ز زیبد همی تاکنابد سپاه / در و دشت ازیشان کبود و سیاه,داستان دوازده رخ
ز گرد سپه روز روشن نماند / ز نیزه هوا جز بجوشن نماند,داستان دوازده رخ
وز آواز اسبان و گرد سپاه / بشد روشنایی ز خورشید و ماه,داستان دوازده رخ
ستاره سنان بود و خروشید تیغ / از آهن زمین بود وز گرز میغ,داستان دوازده رخ
بتوفید ز آواز گردان زمین / ز ترگ و سنان آسمان آهنین,داستان دوازده رخ
چو گودرز توران سپه را بدید / که برسان دریا زمین بردمید,داستان دوازده رخ
درفش از درفش و گروه از گروه / گسسته نشد شب برآمد ز کوه,داستان دوازده رخ
چو شب تیره شد پیل پیش سپاه / فرازآوریدند و بستند راه,داستان دوازده رخ
برافروختند آتش از هردو روی / از آواز گردان پرخاشجوی,داستان دوازده رخ
جهان سربسر گفتی آهرمنست / بدامن بر از آستین دشمنست,داستان دوازده رخ
ز بانگ تبیره بسنگ اندرون / بدرد دل اندر شب قیر گون,داستان دوازده رخ
سپیده برآمد ز کوه سیاه / سپهدار ایران به پیش سپاه,داستان دوازده رخ
بسوده اسب اندر آورد پای / یلان را بهر,داستان دوازده رخ
سپه را سوی میمنه کوه بود / ز جنگ دلیران بی اندوه بود,داستان دوازده رخ
سوی میسره رود آب روان / چنان در خور آمد چو تن را روان,داستان دوازده رخ
پیاده که اندر خور کارزار / بفرمود تا پیش روی سوار,داستان دوازده رخ
صفی بر کشیدند نیزه وران / ابا گرزداران و کنداوران,داستان دوازده رخ
همیدون پیاده بسی نیزه دار / چه با ترکش و تیر و جوشن گذار,داستان دوازده رخ
کمانها فگنده بباز و درون / همی از جگرشان بجوشید خون,داستان دوازده رخ
پس پشت ایشان سواران جنگ / کز آتش بخنجر ببردند رنگ,داستان دوازده رخ
پس پشت لشکر ز پیلان گروه / زمین از پی پیل گشته ستوه,داستان دوازده رخ
درفش خجسته میان سپاه / ز گوهر درفشان بکردار ماه,داستان دوازده رخ
ز پیلان زمین سربسر پیلگون / ز گرد سواران هوا نیلگون,داستان دوازده رخ
درخشیدن تیغهای بنفش / ازان سایهٔ کاویانی درفش,داستان دوازده رخ
تو گفتی که اندرشب تیره چهر / ستاره همی برفشاند سپهر,داستان دوازده رخ
بیاراست لشکر بسان بهشت / بباغ وفا سرو کینه بکشت,داستان دوازده رخ
فریبزر را داد پس میمنه / پس پشت لشکر حصار و بنه,داستان دوازده رخ
گرازه سر تخمهٔ گیوگان / زواره نگهدار تخت کیان,داستان دوازده رخ
بیاری فریبرز برخاستند / بیک روی لشکر بیاراستند,داستان دوازده رخ
برهام فرمود پس پهلوان / که ای تاج و تخت و خرد را روان,داستان دوازده رخ
برو با سواران سوی میسره / نگه دار چنگال گرگ از بره,داستان دوازده رخ
بیفروز لشکرگه از فر خویش / سپه را همی دار در بر خویش,داستان دوازده رخ
بدان آبگون خنجر نیو سوز / چو شیر ژیان با یلان رزم توز,داستان دوازده رخ
برفتند یارانش با او بهم / ز گردان لشکر یکی گستهم,داستان دوازده رخ
دگر گژدهم رزم را ناگزیر / فروهل که بگذارد از سنگ تیر,داستان دوازده رخ
بفرمود با گیو تا دو هزار / برفتند بر گستوان ور سوار,داستان دوازده رخ
